符号,货币,国家和地区,ISO代码,辅助单位[9],进位制,软件开发状态,货币状态,鉴伪状态,备注,Unnamed: 10
使用“Kr”作为符号的货币。这些货币大多称作“克朗”，并多由北欧国家采用。,使用“Kr”作为符号的货币。这些货币大多称作“克朗”，并多由北欧国家采用。,使用“Kr”作为符号的货币。这些货币大多称作“克朗”，并多由北欧国家采用。,使用“Kr”作为符号的货币。这些货币大多称作“克朗”，并多由北欧国家采用。,使用“Kr”作为符号的货币。这些货币大多称作“克朗”，并多由北欧国家采用。,使用“Kr”作为符号的货币。这些货币大多称作“克朗”，并多由北欧国家采用。,,,,,
kr,冰岛克朗,冰岛,ISK,奥拉,100,,,,,
kr,丹麦克朗,丹麦,DKK,欧尔,100,初步开发,货币不全,鉴伪不全,缺24版100、200,
kr,丹麦克朗,格陵兰,DKK,欧尔,100,初步开发,货币不全,鉴伪不全,缺24版100、200,
kr,丹麦克朗（同时使用丹麦本土和法罗群岛之版本）,法罗群岛[2],DKK,欧尔,100,,,,,
kr,挪威克朗,挪威,NOK,欧尔,100,初步开发,货币不全,未做鉴伪,"老版本不流通，手里的都是老版本
缺17版50； 缺16版100、200；
缺18版500；缺19版1000；",
kr,瑞典克朗,瑞典,SEK,欧尔,100,初步开发,货币不全,未做鉴伪,"老版本不流通，
老版本有50、100、500、1000需要处理
缺14版20、50、100、1000",
使用“€”作为符号的货币：欧元。使用欧元的国家未必位于欧元区内。,使用“€”作为符号的货币：欧元。使用欧元的国家未必位于欧元区内。,使用“€”作为符号的货币：欧元。使用欧元的国家未必位于欧元区内。,使用“€”作为符号的货币：欧元。使用欧元的国家未必位于欧元区内。,使用“€”作为符号的货币：欧元。使用欧元的国家未必位于欧元区内。,使用“€”作为符号的货币：欧元。使用欧元的国家未必位于欧元区内。,官方认证,,,,
€,欧元,科索沃共和国[1],EUR,分,100,官方认证,,,,
€,欧元,爱沙尼亚,EUR,分,100,官方认证,,,,
€,欧元,爱尔兰,EUR,分,100,官方认证,,,,
€,欧元,安道尔,EUR,分,100,官方认证,,,,
€,欧元,奥地利,EUR,分,100,官方认证,,,,
€,欧元,"德国（除飞地布辛根，
当地使用瑞士法郎）",EUR,分,100,官方认证,,,,
€,欧元,比利时,EUR,分,100,官方认证,,,,
€,欧元,芬兰,EUR,分,100,官方认证,,,,
€,欧元,"法国（包括所有
太平洋以外的领土和属地）",EUR,分,100,官方认证,,,,
€,欧元,卢森堡,EUR,分,100,官方认证,,,,
€,欧元,黑山,EUR,分,100,官方认证,,,,
€,欧元,荷兰（欧洲部分）,EUR,分,100,官方认证,,,,
€,欧元,塞浦路斯,EUR,分,100,官方认证,,,,
€,欧元,圣马力诺,EUR,分,100,官方认证,,,,
€,欧元,葡萄牙,EUR,分,100,官方认证,,,,
€,欧元,西班牙,EUR,分,100,官方认证,,,,
€,欧元,希腊,EUR,分,100,官方认证,,,,
€,欧元,拉脱维亚,EUR,分,100,官方认证,,,,
€,欧元,摩纳哥,EUR,分,100,官方认证,,,,
€,欧元,"意大利（除飞地坎波
内使用瑞士法郎）",EUR,分,100,官方认证,,,,
€,欧元,斯洛文尼亚,EUR,分,100,官方认证,,,,
€,欧元,立陶宛,EUR,分,100,官方认证,,,,
€,欧元,梵蒂冈,EUR,分,100,官方认证,,,,
"使用“₨”作为符号的货币。
此等货币多称作“卢比”，使用国家多为英国于南亚的前保护国或殖民地。印度于2010年更换了新的货币符号（₹）","使用“₨”作为符号的货币。
此等货币多称作“卢比”，使用国家多为英国于南亚的前保护国或殖民地。印度于2010年更换了新的货币符号（₹）","使用“₨”作为符号的货币。
此等货币多称作“卢比”，使用国家多为英国于南亚的前保护国或殖民地。印度于2010年更换了新的货币符号（₹）","使用“₨”作为符号的货币。
此等货币多称作“卢比”，使用国家多为英国于南亚的前保护国或殖民地。印度于2010年更换了新的货币符号（₹）","使用“₨”作为符号的货币。
此等货币多称作“卢比”，使用国家多为英国于南亚的前保护国或殖民地。印度于2010年更换了新的货币符号（₹）","使用“₨”作为符号的货币。
此等货币多称作“卢比”，使用国家多为英国于南亚的前保护国或殖民地。印度于2010年更换了新的货币符号（₹）",,,,,
₨,卢比,印度,INR,派沙,100,初步开发,,,需要重新统计,
₨,卢比,不丹,INR,派沙,100,初步开发,,,需要重新统计,
₨,卢比,尼泊尔,NPR,派沙,100,初步开发,货币不全,鉴伪不全,缺2019版1000；,
₨,印尼盾,印度尼西亚,IDR,仙,100,初步开发,,,"2016版的货币已经停止印刷
预计在2025或者2026停止使用",
₨,卢比,巴基斯坦,PKR,派沙,100,初步开发,,,,
₨,卢比,毛里求斯,MUR,分,100,初步开发,货币不全,未做鉴伪,"缺21版25、50；
缺22版100、200、2000；",
₨,卢比,塞舌尔,SCR,分,100,,,,,
"使用“Sh”作为符号的货币
此等货币多称作“先令”，使用国家多为英国于东非的前殖民地。","使用“Sh”作为符号的货币
此等货币多称作“先令”，使用国家多为英国于东非的前殖民地。","使用“Sh”作为符号的货币
此等货币多称作“先令”，使用国家多为英国于东非的前殖民地。","使用“Sh”作为符号的货币
此等货币多称作“先令”，使用国家多为英国于东非的前殖民地。","使用“Sh”作为符号的货币
此等货币多称作“先令”，使用国家多为英国于东非的前殖民地。","使用“Sh”作为符号的货币
此等货币多称作“先令”，使用国家多为英国于东非的前殖民地。",,,,,
Sh,先令,肯尼亚,KES,分,100,,,,,
Sh,先令,索马里兰[1],无,分,100,,,,,
Sh,先令,坦桑尼亚,TZS,分,100,初步开发,货币不全,,缺03版10K、5K、2K、1K、500,
Sh,先令,乌干达,UGX,分,100,初步开发,,,,
Sh,先令,索马里,SOS,分,100,初步开发,货币不全,未做鉴伪,"手里的钱版本太老。
缺10版全套。",
使用其他符号的货币,使用其他符号的货币,使用其他符号的货币,使用其他符号的货币,使用其他符号的货币,使用其他符号的货币,,,,,
؋ (U+060B) or Af (sing.) or Afs[6],阿富汗尼,阿富汗,AFN,普尔,100,初步开发,货币不全,,"需要确认是否流通
缺04版500、1000",
د.إ,迪拉姆,阿联酋,AED,分,100,初步开发,货币不全,,"需要确认是否流通
缺06版1000",
ر.ع.,里亚尔,阿曼,OMR,贝沙,1000,初步开发,货币不全,未做鉴伪,"总体数量较少
缺20版10、20、50(Rials)；",
,马纳特,阿塞拜疆,AZN,开比克,100,初步开发,货币不全,未做鉴伪,"缺23版1；
缺22版5；
缺21版10、20、500；
缺20版50；
缺18版200；缺01版1000；",
ب.د,第纳尔,巴林,BHD,费尔,1000,初步开发,货币不全,未做鉴伪,缺06版1/2、5、20；,
Nu.,努尔特鲁姆,不丹,BTN,切特鲁姆,100,,,,,
₩,朝鲜元,"朝鲜民主主义
人民共和国",KPW,钱,100,初步开发,货币不全,未做鉴伪,"需要确认纪念币是否流通？
缺5、500、1000所有版本
缺08版本2000、5000；
缺13版本5000；",
